nz-addresses
WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (175.1387584833 -40.7515527167),488828,AIMS,6701531,13,Matene Street,"13 Matene Street, Ōtaki",Kapiti Coast District,,,,,,13,,,,Matene,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13875848,-40.75155272,Matene,,,Otaki,Otaki,Matene Street,"13 Matene Street, Otaki",175.1387584833,-40.7515527167
POINT (175.1395555 -40.7534991),488837,AIMS,6701536,14,Rangatira Street,"14 Rangatira Street, Ōtaki",Kapiti Coast District,,,,,,14,,,,Rangatira,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13955550,-40.75349910,Rangatira,,,Otaki,Otaki,Rangatira Street,"14 Rangatira Street, Otaki",175.1395555,-40.7534991
POINT (175.1387623833 -40.7520746),488860,AIMS,6701542,16,Matene Street,"16 Matene Street, Ōtaki",Kapiti Coast District,,,,,,16,,,,Matene,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13876238,-40.75207460,Matene,,,Otaki,Otaki,Matene Street,"16 Matene Street, Otaki",175.1387623833,-40.7520746
POINT (175.1400697667 -40.75101575),488867,AIMS,6702271,17,Hadfield Street,"17 Hadfield Street, Ōtaki",Kapiti Coast District,,,,,,17,,,,Hadfield,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.14006977,-40.75101575,Hadfield,,,Otaki,Otaki,Hadfield Street,"17 Hadfield Street, Otaki",175.1400697667,-40.75101575
POINT (175.1402336333 -40.7503470333),488869,AIMS,6704064,18A,Lupin Road,"18A Lupin Road, Ōtaki",Kapiti Coast District,,,,,,18,A,,,Lupin,Road,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.14023363,-40.75034703,Lupin,,,Otaki,Otaki,Lupin Road,"18A Lupin Road, Otaki",175.1402336333,-40.7503470333
POINT (175.1402165667 -40.7503145),488870,AIMS,6704065,18B,Lupin Road,"18B Lupin Road, Ōtaki",Kapiti Coast District,,,,,,18,B,,,Lupin,Road,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.14021657,-40.75031450,Lupin,,,Otaki,Otaki,Lupin Road,"18B Lupin Road, Otaki",175.1402165667,-40.7503145
POINT (175.1404965167 -40.7511675),488895,AIMS,6702112,21A,Hadfield Street,"21A Hadfield Street, Ōtaki",Kapiti Coast District,,,,,,21,A,,,Hadfield,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.14049652,-40.75116750,Hadfield,,,Otaki,Otaki,Hadfield Street,"21A Hadfield Street, Otaki",175.1404965167,-40.7511675
POINT (175.1404414 -40.7505613667),488904,AIMS,6704053,22,Lupin Road,"22 Lupin Road, Ōtaki",Kapiti Coast District,,,,,,22,,,,Lupin,Road,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.14044140,-40.75056137,Lupin,,,Otaki,Otaki,Lupin Road,"22 Lupin Road, Otaki",175.1404414,-40.7505613667
POINT (175.1392087 -40.7515257167),488975,AIMS,6702300,2,Raukawa Street,"2 Raukawa Street, Ōtaki",Kapiti Coast District,,,,,,2,,,,Raukawa,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13920870,-40.75152572,Raukawa,,,Otaki,Otaki,Raukawa Street,"2 Raukawa Street, Otaki",175.1392087,-40.7515257167
POINT (175.1387601833 -40.75228855),488999,AIMS,6701567,34,Main Street,"34 Main Street, Ōtaki",Kapiti Coast District,,,,,,34,,,,Main,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13876018,-40.75228855,Main,,,Otaki,Otaki,Main Street,"34 Main Street, Otaki",175.1387601833,-40.75228855
POINT (175.1392947 -40.75178735),489019,AIMS,6701570,3,Raukawa Street,"3 Raukawa Street, Ōtaki",Kapiti Coast District,,,,,,3,,,,Raukawa,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13929470,-40.75178735,Raukawa,,,Otaki,Otaki,Raukawa Street,"3 Raukawa Street, Otaki",175.1392947,-40.75178735
POINT (175.13911405 -40.7509335333),489024,AIMS,6701571,3,Matene Street,"3 Matene Street, Ōtaki",Kapiti Coast District,,,,,,3,,,,Matene,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13911405,-40.75093353,Matene,,,Otaki,Otaki,Matene Street,"3 Matene Street, Otaki",175.13911405,-40.7509335333
POINT (175.13891295 -40.75234595),489032,AIMS,6702315,40,Main Street,"40 Main Street, Ōtaki",Kapiti Coast District,,,,,,40,,,,Main,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13891295,-40.75234595,Main,,,Otaki,Otaki,Main Street,"40 Main Street, Otaki",175.13891295,-40.75234595
POINT (175.13909965 -40.7526586667),489058,AIMS,6702321,49,Main Street,"49 Main Street, Ōtaki",Kapiti Coast District,,,,,,49,,,,Main,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13909965,-40.75265867,Main,,,Otaki,Otaki,Main Street,"49 Main Street, Otaki",175.13909965,-40.7526586667
POINT (175.1393284 -40.75273125),489074,AIMS,6701578,51,Main Street,"51 Main Street, Ōtaki",Kapiti Coast District,,,,,,51,,,,Main,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13932840,-40.75273125,Main,,,Otaki,Otaki,Main Street,"51 Main Street, Otaki",175.1393284,-40.75273125
POINT (175.1394321833 -40.7525262333),489078,AIMS,6701580,54,Main Street,"54 Main Street, Ōtaki",Kapiti Coast District,,,,,,54,,,,Main,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13943218,-40.75252623,Main,,,Otaki,Otaki,Main Street,"54 Main Street, Otaki",175.1394321833,-40.7525262333
POINT (175.1394956167 -40.75279765),489081,AIMS,6701582,57,Main Street,"57 Main Street, Ōtaki",Kapiti Coast District,,,,,,57,,,,Main,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13949562,-40.75279765,Main,,,Otaki,Otaki,Main Street,"57 Main Street, Otaki",175.1394956167,-40.75279765
POINT (175.1396279 -40.75166315),489108,AIMS,6702329,6,Raukawa Street,"6 Raukawa Street, Ōtaki",Kapiti Coast District,,,,,,6,,,,Raukawa,Street,,,,Ōtaki,Ōtaki,Thoroughfare,Current,175.13962790,-40.75166315,Raukawa,,,Otaki,Otaki,Raukawa Street,"6 Raukawa Street, Otaki",175.1396279,-40.75166315
