nz-addresses
WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.92789135 -41.2119047833),424214,AIMS,376242,10,Raymond Terrace,"10 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,10,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92789135,-41.21190478,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"10 Raymond Terrace, Fairfield, Lower Hutt",174.92789135,-41.2119047833
POINT (174.9276409667 -41.2117295333),424252,AIMS,376279,11,Raymond Terrace,"11 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,11,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92764097,-41.21172953,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"11 Raymond Terrace, Fairfield, Lower Hutt",174.9276409667,-41.2117295333
POINT (174.9279454833 -41.2117894333),424295,AIMS,376316,12,Raymond Terrace,"12 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,12,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92794548,-41.21178943,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"12 Raymond Terrace, Fairfield, Lower Hutt",174.9279454833,-41.2117894333
POINT (174.9277069 -41.2116078833),424331,AIMS,376346,13,Raymond Terrace,"13 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,13,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92770690,-41.21160788,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"13 Raymond Terrace, Fairfield, Lower Hutt",174.9277069,-41.2116078833
POINT (174.9280255833 -41.2116305333),424352,AIMS,376360,14,Raymond Terrace,"14 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,14,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92802558,-41.21163053,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"14 Raymond Terrace, Fairfield, Lower Hutt",174.9280255833,-41.2116305333
POINT (174.92775275 -41.2114717667),424374,AIMS,376382,15,Raymond Terrace,"15 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,15,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92775275,-41.21147177,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"15 Raymond Terrace, Fairfield, Lower Hutt",174.92775275,-41.2114717667
POINT (174.9280604667 -41.2115279833),424401,AIMS,376409,16,Raymond Terrace,"16 Raymond Terrace, Fairfield, Lower Hutt",Lower Hutt City,,,,,,16,,,,Raymond,Terrace,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92806047,-41.21152798,Raymond,,,Fairfield,Lower Hutt,Raymond Terrace,"16 Raymond Terrace, Fairfield, Lower Hutt",174.9280604667,-41.2115279833
POINT (174.9289735 -41.2114233),424592,AIMS,376559,24,Brasell Street,"24 Brasell Street, Fairfield, Lower Hutt",Lower Hutt City,,,,,,24,,,,Brasell,Street,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92897350,-41.21142330,Brasell,,,Fairfield,Lower Hutt,Brasell Street,"24 Brasell Street, Fairfield, Lower Hutt",174.9289735,-41.2114233
POINT (174.9269659833 -41.2124403667),424625,AIMS,376590,267,Waterloo Road,"267 Waterloo Road, Waterloo, Lower Hutt",Lower Hutt City,,,,,,267,,,,Waterloo,Road,,,,Waterloo,Lower Hutt,Thoroughfare,Current,174.92696598,-41.21244037,Waterloo,,,Waterloo,Lower Hutt,Waterloo Road,"267 Waterloo Road, Waterloo, Lower Hutt",174.9269659833,-41.2124403667
POINT (174.9287925167 -41.21139975),424628,AIMS,1583455,26A,Brasell Street,"26A Brasell Street, Fairfield, Lower Hutt",Lower Hutt City,,,,,,26,A,,,Brasell,Street,,,,Fairfield,Lower Hutt,Thoroughfare,Current,174.92879252,-41.21139975,Brasell,,,Fairfield,Lower Hutt,Brasell Street,"26A Brasell Street, Fairfield, Lower Hutt",174.9287925167,-41.21139975
