nz-addresses
WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (175.48083275 -41.17676425),69356,AIMS,7053029,302,Riverside Road,"302 Riverside Road, Martinborough",South Wairarapa District,,,,,,302,,,,Riverside,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.48083275,-41.17676425,Riverside,,,Martinborough,Martinborough,Riverside Road,"302 Riverside Road, Martinborough",175.48083275,-41.17676425
POINT (175.517684 -41.180385),1530065,AIMS,1330852,752,Ponatahi Road,"752 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,752,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.51768400,-41.18038500,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"752 Ponatahi Road, Martinborough",175.517684,-41.180385
POINT (175.514331 -41.176475),1530066,AIMS,1686212,752A,Ponatahi Road,"752A Ponatahi Road, Martinborough",South Wairarapa District,,,,,,752,A,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.51433100,-41.17647500,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"752A Ponatahi Road, Martinborough",175.514331,-41.176475
POINT (175.4862322167 -41.1915552667),1530204,AIMS,1330976,339,Ponatahi Road,"339 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,339,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.48623222,-41.19155527,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"339 Ponatahi Road, Martinborough",175.4862322167,-41.1915552667
POINT (175.500187 -41.192548),1530207,AIMS,1330978,536,Ponatahi Road,"536 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,536,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.50018700,-41.19254800,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"536 Ponatahi Road, Martinborough",175.500187,-41.192548
POINT (175.4905824333 -41.1622170333),1530221,AIMS,1330992,429,Riverside Road,"429 Riverside Road, Martinborough",South Wairarapa District,,,,,,429,,,,Riverside,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.49058243,-41.16221703,Riverside,,,Martinborough,Martinborough,Riverside Road,"429 Riverside Road, Martinborough",175.4905824333,-41.1622170333
POINT (175.503021 -41.188737),1530222,AIMS,1330993,589,Ponatahi Road,"589 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,589,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.50302100,-41.18873700,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"589 Ponatahi Road, Martinborough",175.503021,-41.188737
POINT (175.507938 -41.185839),1530223,AIMS,1330994,636,Ponatahi Road,"636 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,636,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.50793800,-41.18583900,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"636 Ponatahi Road, Martinborough",175.507938,-41.185839
POINT (175.509784 -41.183059),1530224,AIMS,1330995,672,Ponatahi Road,"672 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,672,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.50978400,-41.18305900,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"672 Ponatahi Road, Martinborough",175.509784,-41.183059
POINT (175.510154 -41.182346),1530225,AIMS,1330996,680,Ponatahi Road,"680 Ponatahi Road, Martinborough",South Wairarapa District,,,,,,680,,,,Ponatahi,Road,,,,Martinborough,Martinborough,Thoroughfare,Current,175.51015400,-41.18234600,Ponatahi,,,Martinborough,Martinborough,Ponatahi Road,"680 Ponatahi Road, Martinborough",175.510154,-41.182346
