nz-addresses (1)
WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (175.1230970167 -40.98411105),488052,AIMS,5872282,2390B,Akatarawa Road,"2390B Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2390,B,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12309702,-40.98411105,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2390B Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1230970167,-40.98411105
POINT (175.1232220833 -40.98350705),488053,AIMS,5872270,2406,Akatarawa Road,"2406 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2406,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12322208,-40.98350705,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2406 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1232220833,-40.98350705
POINT (175.1210457167 -40.9820656667),488054,AIMS,5872278,2420,Akatarawa Road,"2420 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2420,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12104572,-40.98206567,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2420 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1210457167,-40.9820656667
POINT (175.1167935833 -40.98202085),488055,AIMS,5866160,2497,Akatarawa Road,"2497 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2497,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.11679358,-40.98202085,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2497 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1167935833,-40.98202085
POINT (175.1215368167 -40.9932701333),488056,AIMS,5866161,2297,Akatarawa Road,"2297 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2297,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12153682,-40.99327013,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2297 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1215368167,-40.9932701333
POINT (175.12092785 -40.9924744667),488057,AIMS,5866162,2299,Akatarawa Road,"2299 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2299,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12092785,-40.99247447,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2299 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.12092785,-40.9924744667
POINT (175.1208557833 -40.9909715333),488058,AIMS,5872279,2306,Akatarawa Road,"2306 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2306,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12085578,-40.99097153,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2306 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1208557833,-40.9909715333
POINT (175.1232321333 -40.9851387667),488060,AIMS,5872283,2390A,Akatarawa Road,"2390A Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2390,A,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12323213,-40.98513877,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2390A Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1232321333,-40.9851387667
POINT (175.1242020667 -40.99572695),488065,AIMS,5872274,2294A,Akatarawa Road,"2294A Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2294,A,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12420207,-40.99572695,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2294A Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1242020667,-40.99572695
POINT (175.11373965 -40.9839314333),1419070,AIMS,5866171,2401,Akatarawa Road,"2401 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2401,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.11373965,-40.98393143,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2401 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.11373965,-40.9839314333
POINT (175.12169785 -40.9924281167),1558456,AIMS,5872271,2300,Akatarawa Road,"2300 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2300,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12169785,-40.99242812,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2300 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.12169785,-40.9924281167
POINT (175.1211977667 -40.9879148667),1691698,AIMS,5866173,2351A,Akatarawa Road,"2351A Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2351,A,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12119777,-40.98791487,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2351A Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1211977667,-40.9879148667
POINT (175.1225405833 -40.9869479833),1691699,AIMS,5872273,2362,Akatarawa Road,"2362 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2362,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12254058,-40.98694798,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2362 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1225405833,-40.9869479833
POINT (175.1174754333 -40.98732195),1691705,AIMS,5866205,2351B,Akatarawa Road,"2351B Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2351,B,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.11747543,-40.98732195,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2351B Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1174754333,-40.98732195
POINT (175.12220285 -40.99299025),1691785,AIMS,5872287,2296A,Akatarawa Road,"2296A Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2296,A,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12220285,-40.99299025,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2296A Akatarawa Road, Akatarawa Valley, Upper Hutt",175.12220285,-40.99299025
POINT (175.1192919167 -40.9836863167),1948855,AIMS,5866197,2453,Akatarawa Road,"2453 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2453,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.11929192,-40.98368632,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2453 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1192919167,-40.9836863167
POINT (175.1138507101 -40.9865184136),2195722,AIMS,5866206,2351C,Akatarawa Road,"2351C Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2351,C,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.11385071,-40.98651841,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2351C Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1138507101,-40.9865184136
POINT (175.1159143861 -40.9999746864),2382183,AIMS,7084547,2175,Akatarawa Road,"2175 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2175,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.11591439,-40.99997469,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2175 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1159143861,-40.9999746864
POINT (175.1236752144 -40.9945485712),2450795,AIMS,9328354,2288,Akatarawa Road,"2288 Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2288,,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12367521,-40.99454857,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2288 Akatarawa Road, Akatarawa Valley, Upper Hutt",175.1236752144,-40.9945485712
POINT (175.12269595 -40.9931128077),1691281,AIMS,9328355,2296B,Akatarawa Road,"2296B Akatarawa Road, Akatarawa Valley, Upper Hutt",Upper Hutt City,,,,,,2296,B,,,Akatarawa,Road,,,,Akatarawa Valley,Upper Hutt,Thoroughfare,Current,175.12269595,-40.99311281,Akatarawa,,,Akatarawa Valley,Upper Hutt,Akatarawa Road,"2296B Akatarawa Road, Akatarawa Valley, Upper Hutt",175.12269595,-40.9931128077
POINT (175.0795883 -41.1185784167),467261,AIMS,414615,11,Cecil Street,"11 Cecil Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,11,,,,Cecil,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07958830,-41.11857842,Cecil,,,Clouston Park,Upper Hutt,Cecil Street,"11 Cecil Street, Clouston Park, Upper Hutt",175.0795883,-41.1185784167
POINT (175.0789700333 -41.1179596333),482541,AIMS,427765,10,Charles Street,"10 Charles Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,10,,,,Charles,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07897003,-41.11795963,Charles,,,Clouston Park,Upper Hutt,Charles Street,"10 Charles Street, Clouston Park, Upper Hutt",175.0789700333,-41.1179596333
POINT (175.07884225 -41.1190944833),482555,AIMS,427779,10,Cecil Street,"10 Cecil Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,10,,,,Cecil,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07884225,-41.11909448,Cecil,,,Clouston Park,Upper Hutt,Cecil Street,"10 Cecil Street, Clouston Park, Upper Hutt",175.07884225,-41.1190944833
POINT (175.07864615 -41.1179583167),482557,AIMS,427781,11,Charles Street,"11 Charles Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,11,,,,Charles,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07864615,-41.11795832,Charles,,,Clouston Park,Upper Hutt,Charles Street,"11 Charles Street, Clouston Park, Upper Hutt",175.07864615,-41.1179583167
POINT (175.0781426333 -41.1209503333),482562,AIMS,427786,11,Henry Street,"11 Henry Street, Ebdentown, Upper Hutt",Upper Hutt City,,,,,,11,,,,Henry,Street,,,,Ebdentown,Upper Hutt,Thoroughfare,Current,175.07814263,-41.12095033,Henry,,,Ebdentown,Upper Hutt,Henry Street,"11 Henry Street, Ebdentown, Upper Hutt",175.0781426333,-41.1209503333
POINT (175.0798876167 -41.1200363),482566,AIMS,427790,11,Arnot Avenue,"11 Arnot Avenue, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,11,,,,Arnot,Avenue,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07988762,-41.12003630,Arnot,,,Clouston Park,Upper Hutt,Arnot Avenue,"11 Arnot Avenue, Clouston Park, Upper Hutt",175.0798876167,-41.1200363
POINT (175.0789399833 -41.1177923333),482571,AIMS,427794,12,Charles Street,"12 Charles Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,12,,,,Charles,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07893998,-41.11779233,Charles,,,Clouston Park,Upper Hutt,Charles Street,"12 Charles Street, Clouston Park, Upper Hutt",175.0789399833,-41.1177923333
POINT (175.0789005667 -41.1176459),482605,AIMS,427824,14,Charles Street,"14 Charles Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,14,,,,Charles,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07890057,-41.11764590,Charles,,,Clouston Park,Upper Hutt,Charles Street,"14 Charles Street, Clouston Park, Upper Hutt",175.0789005667,-41.1176459
POINT (175.0796402167 -41.1204369667),482617,AIMS,427836,14,Arnot Avenue,"14 Arnot Avenue, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,14,,,,Arnot,Avenue,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07964022,-41.12043697,Arnot,,,Clouston Park,Upper Hutt,Arnot Avenue,"14 Arnot Avenue, Clouston Park, Upper Hutt",175.0796402167,-41.1204369667
POINT (175.0791951833 -41.1191038333),482619,AIMS,427838,14,Cecil Street,"14 Cecil Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,14,,,,Cecil,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07919518,-41.11910383,Cecil,,,Clouston Park,Upper Hutt,Cecil Street,"14 Cecil Street, Clouston Park, Upper Hutt",175.0791951833,-41.1191038333
POINT (175.0785933833 -41.1176097833),482622,AIMS,427841,15,Charles Street,"15 Charles Street, Clouston Park, Upper Hutt",Upper Hutt City,,,,,,15,,,,Charles,Street,,,,Clouston Park,Upper Hutt,Thoroughfare,Current,175.07859338,-41.11760978,Charles,,,Clouston Park,Upper Hutt,Charles Street,"15 Charles Street, Clouston Park, Upper Hutt",175.0785933833,-41.1176097833
