WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7762144833 -41.2876389833),2056265,AIMS,5896041,5/56,Victoria Street,"5/56 Victoria Street, Wellington Central, Wellington",Wellington City,,5,,,,56,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.7762145,-41.28763898,Victoria,,,Wellington Central,Wellington,Victoria Street,"5/56 Victoria Street, Wellington Central, Wellington",174.7762145,-41.28763898
POINT (174.7762144833 -41.2876389833),2056266,AIMS,5896042,6/56,Victoria Street,"6/56 Victoria Street, Wellington Central, Wellington",Wellington City,,6,,,,56,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.7762145,-41.28763898,Victoria,,,Wellington Central,Wellington,Victoria Street,"6/56 Victoria Street, Wellington Central, Wellington",174.7762145,-41.28763898
POINT (174.7762144833 -41.2876389833),2056267,AIMS,5896043,7/56,Victoria Street,"7/56 Victoria Street, Wellington Central, Wellington",Wellington City,,7,,,,56,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.7762145,-41.28763898,Victoria,,,Wellington Central,Wellington,Victoria Street,"7/56 Victoria Street, Wellington Central, Wellington",174.7762145,-41.28763898
POINT (174.776252030003 -41.2877964000003),3123139,CADS,123139,3/58,Victoria Street,"3/58 Victoria Street, Wellington Central, Wellington",Wellington City,,3,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"3/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
POINT (174.776252030003 -41.2877964000003),3123140,CADS,123140,4/58,Victoria Street,"4/58 Victoria Street, Wellington Central, Wellington",Wellington City,,4,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"4/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
POINT (174.776252030003 -41.2877964000003),3123163,CADS,123163,105/58,Victoria Street,"105/58 Victoria Street, Wellington Central, Wellington",Wellington City,,105,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"105/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
POINT (174.776252030003 -41.2877964000003),3123164,CADS,123164,106/58,Victoria Street,"106/58 Victoria Street, Wellington Central, Wellington",Wellington City,,106,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"106/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
POINT (174.776252030003 -41.2877964000003),3123170,CADS,123170,113/58,Victoria Street,"113/58 Victoria Street, Wellington Central, Wellington",Wellington City,,113,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"113/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
POINT (174.776252030003 -41.2877964000003),3123207,CADS,123207,231/58,Victoria Street,"231/58 Victoria Street, Wellington Central, Wellington",Wellington City,,231,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"231/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
POINT (174.776252030003 -41.2877964000003),3123221,CADS,123221,315/58,Victoria Street,"315/58 Victoria Street, Wellington Central, Wellington",Wellington City,,315,,,,58,,,,Victoria,Street,,,,Wellington Central,Wellington,Thoroughfare,Current,174.776252,-41.2877964,Victoria,,,Wellington Central,Wellington,Victoria Street,"315/58 Victoria Street, Wellington Central, Wellington",174.776252,-41.2877964
