nz-addresses
WKT,address_id,source_dataset,change_id,full_address_number,full_road_name,full_address,territorial_authority,unit_type,unit_value,level_type,level_value,address_number_prefix,address_number,address_number_suffix,address_number_high,road_name_prefix,road_name,road_type_name,road_suffix,water_name,water_body_name,suburb_locality,town_city,address_class,address_lifecycle,gd2000_xcoord,gd2000_ycoord,road_name_ascii,water_name_ascii,water_body_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.8937814833 -41.1076893333),1450343,AIMS,1264498,11,The Topdeck,"11 The Topdeck, Whitby, Porirua",Porirua City,,,,,,11,,,,The Topdeck,,,,,Whitby,Porirua,Thoroughfare,Current,174.89378148,-41.10768933,The Topdeck,,,Whitby,Porirua,The Topdeck,"11 The Topdeck, Whitby, Porirua",174.8937814833,-41.1076893333
POINT (174.8933118167 -41.1079686833),1450346,AIMS,1264501,17,The Topdeck,"17 The Topdeck, Whitby, Porirua",Porirua City,,,,,,17,,,,The Topdeck,,,,,Whitby,Porirua,Thoroughfare,Current,174.89331182,-41.10796868,The Topdeck,,,Whitby,Porirua,The Topdeck,"17 The Topdeck, Whitby, Porirua",174.8933118167,-41.1079686833
POINT (174.8923938833 -41.1072680833),1450348,AIMS,1264503,16,The Topdeck,"16 The Topdeck, Whitby, Porirua",Porirua City,,,,,,16,,,,The Topdeck,,,,,Whitby,Porirua,Thoroughfare,Current,174.89239388,-41.10726808,The Topdeck,,,Whitby,Porirua,The Topdeck,"16 The Topdeck, Whitby, Porirua",174.8923938833,-41.1072680833
POINT (174.8935094833 -41.10719785),1450352,AIMS,1264507,8,The Topdeck,"8 The Topdeck, Whitby, Porirua",Porirua City,,,,,,8,,,,The Topdeck,,,,,Whitby,Porirua,Thoroughfare,Current,174.89350948,-41.10719785,The Topdeck,,,Whitby,Porirua,The Topdeck,"8 The Topdeck, Whitby, Porirua",174.8935094833,-41.10719785
POINT (174.8938426333 -41.1066673667),1450354,AIMS,1264509,25,The Layline,"25 The Layline, Whitby, Porirua",Porirua City,,,,,,25,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89384263,-41.10666737,The Layline,,,Whitby,Porirua,The Layline,"25 The Layline, Whitby, Porirua",174.8938426333,-41.1066673667
POINT (174.8942633833 -41.1067481167),1450355,AIMS,1264510,2,The Topdeck,"2 The Topdeck, Whitby, Porirua",Porirua City,,,,,,2,,,,The Topdeck,,,,,Whitby,Porirua,Thoroughfare,Current,174.89426338,-41.10674812,The Topdeck,,,Whitby,Porirua,The Topdeck,"2 The Topdeck, Whitby, Porirua",174.8942633833,-41.1067481167
POINT (174.8935549833 -41.10657355),1450356,AIMS,1264511,2,The Layline,"2 The Layline, Whitby, Porirua",Porirua City,,,,,,2,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89355498,-41.10657355,The Layline,,,Whitby,Porirua,The Layline,"2 The Layline, Whitby, Porirua",174.8935549833,-41.10657355
POINT (174.8932414833 -41.1066628),1450357,AIMS,1264512,4,The Layline,"4 The Layline, Whitby, Porirua",Porirua City,,,,,,4,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89324148,-41.10666280,The Layline,,,Whitby,Porirua,The Layline,"4 The Layline, Whitby, Porirua",174.8932414833,-41.1066628
POINT (174.8928842167 -41.1067199833),1450358,AIMS,1264513,6,The Layline,"6 The Layline, Whitby, Porirua",Porirua City,,,,,,6,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89288422,-41.10671998,The Layline,,,Whitby,Porirua,The Layline,"6 The Layline, Whitby, Porirua",174.8928842167,-41.1067199833
POINT (174.8928738333 -41.1068904833),1450360,AIMS,1264515,5,The Layline,"5 The Layline, Whitby, Porirua",Porirua City,,,,,,5,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89287383,-41.10689048,The Layline,,,Whitby,Porirua,The Layline,"5 The Layline, Whitby, Porirua",174.8928738333,-41.1068904833
POINT (174.8926578667 -41.1067919667),1450361,AIMS,1264516,7,The Layline,"7 The Layline, Whitby, Porirua",Porirua City,,,,,,7,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89265787,-41.10679197,The Layline,,,Whitby,Porirua,The Layline,"7 The Layline, Whitby, Porirua",174.8926578667,-41.1067919667
POINT (174.8925559833 -41.1065396333),1450363,AIMS,1264518,11,The Layline,"11 The Layline, Whitby, Porirua",Porirua City,,,,,,11,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89255598,-41.10653963,The Layline,,,Whitby,Porirua,The Layline,"11 The Layline, Whitby, Porirua",174.8925559833,-41.1065396333
POINT (174.8932665833 -41.10625365),1450368,AIMS,1264523,19,The Layline,"19 The Layline, Whitby, Porirua",Porirua City,,,,,,19,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89326658,-41.10625365,The Layline,,,Whitby,Porirua,The Layline,"19 The Layline, Whitby, Porirua",174.8932665833,-41.10625365
POINT (174.8935573667 -41.1062284333),1450369,AIMS,1264524,20,The Layline,"20 The Layline, Whitby, Porirua",Porirua City,,,,,,20,,,,The Layline,,,,,Whitby,Porirua,Thoroughfare,Current,174.89355737,-41.10622843,The Layline,,,Whitby,Porirua,The Layline,"20 The Layline, Whitby, Porirua",174.8935573667,-41.1062284333
